,0
0,C=CC
1,C=O
2,CC
3,CC#N
4,CC(=O)N(C)C
5,CC(=O)N1CCCCC1
6,CC(=O)NC(C)C
7,CC(=O)Nc1ccccc1
8,CC(=O)Nc1ccccc1C
9,CC(=O)O
10,CC(C)C
11,CC(C)N
12,CC(C)NC=O
13,CC(C)O
14,CC(C)[NH3+]
15,CC(N)=O
16,CC(N)c1ccccc1
17,CC1CCCN(C)C1
18,CC1CCCNC1
19,CC=O
20,CCC
21,CCC(=O)NC
22,CCC(N)=O
23,CCC=O
24,CCCC
25,CCCN
26,CCCNC
27,CCN
28,CCN(C)C
29,CCN(C)C=O
30,CCN1CCCCC1
31,CCNC
32,CCNC(C)=O
33,CCNC(C)C
34,CCNC(N)=O
35,CCNC=O
36,CCNCC
37,CCNCN
38,CCNc1ccccc1
39,CCNc1ccccc1C
40,CCO
41,CCOC
42,CCOc1ccccc1
43,CCS
44,CCSC
45,CC[NH3+]
46,CC[O-]
47,CCc1ccccc1
48,CF
49,CN
50,CN(C)C
51,CN(C)C=O
52,CN1CCCC1
53,CN1CCCCC1
54,CN1CCNCC1
55,CN1CCOCC1
56,CNC
57,CNC(=O)NC
58,CNC(=O)c1ccccc1
59,CNC(C)=O
60,CNC(C)C
61,CNC(N)=O
62,CNC=O
63,CNCN
64,CNCNC
65,CNCc1ccccc1
66,CNc1ccccc1
67,CNc1ccccc1C
68,CO
69,COC
70,COC(C)=O
71,COC=O
72,COc1ccc(C)cc1
73,COc1ccc(N)cc1
74,COc1ccccc1
75,CS
76,CS(N)(=O)=O
77,CS(N)=O
78,CSC
79,CSN
80,C[N+](=O)[O-]
81,C[NH+]1CCCCC1
82,C[NH+]=O
83,C[NH2+]C
84,C[NH2+][O-]
85,C[NH3+]
86,C[O-]
87,C[SH](=O)=O
88,C[SH]=O
89,Cc1ccc(C)cc1
90,Cc1ccc(Cl)cc1
91,Cc1ccc(O)cc1
92,Cc1cccc(F)c1
93,Cc1cccc(O)c1
94,Cc1ccccc1
95,Cc1ccccc1C
96,Cc1ccccc1F
97,Cc1ccccc1N
98,Cc1ccccc1NC=O
99,Cc1cccnc1
100,Cc1ccco1
101,Cc1cncs1
102,Cc1cocc1
103,Cc1cscc1
104,Cc1n[nH]c(N)c1
105,Cc1n[nH]cc1
106,Cc1nn(C)cc1
107,Clc1ccccc1
108,Cn1cccn1
109,FCF
110,Fc1ccccc1
111,NC(=O)c1ccccc1
112,NC(N)=O
113,NC=O
114,NCC(N)=O
115,NCC=O
116,NCCN
117,NCN
118,NCc1ccccc1
119,NS
120,NS(=O)(=O)c1ccccc1
121,NS(=O)c1ccccc1
122,NSc1ccccc1
123,N[SH](=O)=O
124,N[SH]=O
125,Nc1ccc(O)cc1
126,Nc1ccccc1
127,Nc1ccn[nH]1
128,O=CN1CCCCC1
129,O=CNc1ccccc1
130,O=CO
131,O=Cc1ccccc1
132,O=S
133,O=S=O
134,O=[NH+][O-]
135,O=[SH](=O)c1ccccc1
136,O=[SH]c1ccccc1
137,Oc1ccccc1
138,Oc1ccccc1O
139,Sc1ccccc1
140,[NH2+]=O
141,[NH3+][O-]
