,0
0,BrC1=CC=C(CNC2=CC=CC=C2)C=C1
1,C#CCNC(C)=O
2,C(=CC1=CC=CC=C1)CNC1=CC=CC=C1
3,C=C(C)C(N)=O
4,C=CC(=O)N(C)C
5,C=CC(=O)N(C)CC
6,C=CC(=O)NC
7,C=CC(=O)NC(C)C
8,C=CC(=O)NCC
9,C=CC(=O)NC1=CC=CC=C1
10,C=CC(=O)NC1=CC=CC=C1C
11,C=CCN(C)C
12,C=CCN(C)C=O
13,C=CCN(C)CC
14,C=CCNC(C)=O
15,C=CCNC(C)C
16,C=CCNC=O
17,C=CCNCC
18,C=CCNC1=CC=CC=C1C
19,C=CC1=CC=C(OC)C(OC)=C1
20,CC(=CC(N)=O)C1=CC=CC=C1
21,CC(=CC=O)C1=CC=CC=C1
22,CC(=CCN)C1=CC=CC=C1
23,CC(=O)C(C)C
24,CC(=O)C(C)C#N
25,CC(=O)CC#N
26,CC(=O)CCC(N)=O
27,CC(=O)CCC=O
28,CC(=O)CCCN
29,CC(=O)N(C)C
30,CC(=O)N(C)C(C)C
31,CC(=O)N(C)C(C)CS
32,CC(=O)N(C)C(C)C1=CC=C(F)C=C1
33,CC(=O)N(C)C(C)C1=CC=CC=C1
34,CC(=O)N(C)C1CC1
35,CC(=O)N(C)C1CCCC1
36,CC(=O)N(C)C1CCCCC1
37,CC(=O)N(C)C1CCCCC1C
38,CC(=O)N(C)C1CCS(=O)(=O)C1
39,CC(=O)N(C)C1CCS(=O)C1
40,CC(=O)N(C)C1CCSC1
41,CC(=O)N(C)C1CC[NH+](C)CC1
42,CC(=O)N(C)C1CC[NH2+]CC1
43,CC(=O)N(C)CC(=O)NC1=CC=CC(C)=C1
44,CC(=O)N(C)CC(=O)NC1=CC=CC=C1
45,CC(=O)N(C)CC(C)C
46,CC(=O)N(C)CC(C)O
47,CC(=O)N(C)CC(F)(F)F
48,CC(=O)N(C)CC(F)F
49,CC(=O)N(C)CC(N)=O
50,CC(=O)N(C)CC1CC1
51,CC(=O)N(C)CC1CCOC1
52,CC(=O)N(C)CC=O
53,CC(=O)N(C)CCC#N
54,CC(=O)N(C)CCF
55,CC(=O)N(C)CCN
56,CC(=O)N(C)CCNC1=CC=CC(C)=C1
57,CC(=O)N(C)CCNC1=CC=CC=C1
58,CC(=O)N(C)CCO
59,CC(=O)N(C)CCS
60,CC(=O)N(C)CC1=CC=CC(N)=C1
61,CC(=O)N(C)CC1=CC=C(C)C=C1
62,CC(=O)N(C)CC1=CC=C(F)C=C1
63,CC(=O)N(C)CC1=CC=CC(Cl)=C1
64,CC(=O)N(C)CC1=CC=CC=C1
65,CC(=O)N(C)CC1=CC=CC=C1O
66,CC(=O)N(C)CC1=CC=CC=N1
67,CC(=O)N(C)CC1=CC=CO1
68,CC(=O)N(C)CC1=CC=CS1
69,CC(=O)N(C)CC1=NC=CS1
70,CC(=O)N(C)C1=CC=C(C)C=C1
71,CC(=O)N(C)C1=CC=CC(N)=C1
72,CC(=O)N(C)C1=CC=CC=C1
73,CC(=O)N(C)C1=CC=NC=C1
74,CC(=O)N(CC1=CC=CC=C1)C1CC1
75,CC(=O)N1CC(C)C(C)C1
76,CC(=O)N1CC(C)C(C=O)C1
77,CC(=O)N1CC(C)CC1C
78,CC(=O)N1CC(C)OCC1C
79,CC(=O)N1CC(C2=CC=CC=C2)CC1C
80,CC(=O)N1CC=C(C2=CC=CC=C2)CC1
81,CC(=O)N1CCC(=O)NCC1C
82,CC(=O)N1CCC(=O)NC2=CC=CC=C21
83,CC(=O)N1CCC(C(=O)N(C)C)CC1
84,CC(=O)N1CCC(C(=O)[O-])C1
85,CC(=O)N1CCC(C(N)=O)CC1
86,CC(=O)N1CCC(C(N)=O)C2=CC=CC=C21
87,CC(=O)N1CCC(C)C(O)C1
88,CC(=O)N1CCC(C)CC1
89,CC(=O)N1CCC(C)C2=CC=CC=C21
90,CC(=O)N1CCC(C=O)CC1
91,CC(=O)N1CCC(C=O)C2=CC=CC=C21
92,CC(=O)N1CCC(CC(N)=O)CC1
93,CC(=O)N1CCC(CC=O)CC1
