,0
0,BC
1,BO
2,BrC1=CCCC=C1
3,Brc1cccc2c1CCN2
4,Brc1c[nH]nc1
5,Brc1ccc2cc[nH]c2c1
6,Brc1cccc(Br)c1
7,Brc1ccccc1
8,Brc1cccnc1
9,Brc1ccco1
10,Brc1cccs1
11,Brc1ncccn1
12,C#CC
13,C#CC(C)C
14,C#CC(C)O
15,C#CCC
16,C#CCCC
17,C#CCCCC
18,C#CCN
19,C#CCN(C)C
20,C#CCNC
21,C#CCO
22,C#CCOC
23,C#Cc1cncnc1C
24,C#Cc1ccc(C)cc1
25,C#Cc1ccc(N)cc1
26,C#Cc1ccc(N)nc1
27,C#Cc1ccccc1
28,C#Cc1ccccc1O
29,C#Cc1ccccc1OC
30,C#Cc1cccnc1
31,C#Cc1ccnc(N)n1
32,C#Cc1ccncn1
33,C#Cc1cnccc1C
34,C#Cc1cncnc1C
35,C(#Cc1ccccc1)c1ccccc1
36,C(=C1CNCS1)c1ccccc1
37,C(=Cc1ccccc1)CNc1ccccc1
38,C(=Cc1ccccc1)Cc1ccccc1
39,C(=Cc1ccccc1)c1ccccc1
40,C(=NNCc1ccccc1)c1ccccc1
41,C(=Nc1ccccc1)Nc1ccccc1
42,C(=Nc1ccccc1)c1ccccc1
43,C1=C(C2CCNCC2)CCN1
44,C1=C(Cc2ccccc2)CCN1
45,C1=C(c2ccccc2)CCCC1
46,C1=C(c2ccccc2)CCOC1
47,C1=C(c2ccccc2)COC1
48,C1=C(c2ccccc2)NCC1
49,C1=C(c2ccccc2)NCS1
50,C1=C(c2ccccc2)OCC1
51,C1=C(c2ccccc2)Oc2ccccc2C1
52,C1=C(c2ccccc2)SCC1
53,C1=C(c2ccccc2)c2ccccc2OC1
54,C1=C2C(CCC1)CCC1CCCCC21
55,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
56,C1=C2C3CCCCC3CCC2C2CCCCC2C1
57,C1=C2CCC3C4CCCC4CCC3C2CCC1
58,C1=C2CCC3CC2(CCN3)CO1
59,C1=C2CCCCC2=NCC1
60,C1=C2CCCCC2C2CCC3CCCC3C2C1
61,C1=C2CCCCC2C2CCC3CCCCC3C2C1
62,C1=C2CCCCC2C2CCCCC2C1
63,C1=C2CCCCC2CCC1
64,C1=CC(Nc2ccccc2)=NCN1
65,C1=CC(c2ccccc2)=CNC1
66,C1=CC(c2ccccc2)=NCC1
67,C1=CC(c2ccccc2)=NNC1
68,C1=CC(c2ccccc2)C=CN1
69,C1=CC(c2ccccc2)CCN1
70,C1=CC(c2ccccc2)NC1
71,C1=CC(c2ccccc2)NCC1
72,C1=CC(c2ccccc2)NCN1
73,C1=CC(c2ccccc2)c2ccccc2N1
74,C1=CC2(CCNCC2)CNC1
75,C1=CC2=C(N=CNC2)NC1
76,C1=CC2=NC=CCN2C=C1
77,C1=CC2CC=CCC2CC1
78,C1=CC2CCCCC2C1
79,C1=CC2CCCCC2CC1
80,C1=CCC2(CC1)CCCC2
81,C1=CCC2=CCNCC2=C1
82,C1=CCC2C(C1)CCC1CCCC12
83,C1=CCC2C(C1)CCC1CCCCC12
84,C1=CCC2CC3CCCCC3=CC2C1
85,C1=CCC2CCCCC2C1
86,C1=CCC2CNCC2C1
87,C1=CCC=CC1
88,C1=CCCC(c2ccccc2)=C1
89,C1=CCCC1
90,C1=CCCC=C1
91,C1=CCCCC1
92,C1=CCN(Cc2ccccc2)C=C1
93,C1=CCN(Cc2ccccc2)CC1
94,C1=CCN(c2ccccc2)C1
95,C1=CCN(c2ccccc2)C=C1
96,C1=CCN(c2ccccc2)CC1
97,C1=CCNC1
98,C1=CCNCC1
99,C1=CCOC=C1
100,C1=CCOCC1
101,C1=CCc2ccccc2C1
102,C1=CCc2ccccc2CC1
103,C1=CCc2cnccc2C1
104,C1=CN(C2CC2)C=CC1
105,C1=CN(C2CC2)CCC1
106,C1=CN(C2CCCO2)CN=C1
107,C1=CN(C2CCCO2)CNC1
108,C1=CN(Cc2ccccc2)CC1
109,C1=CN(Cc2ccccc2)CCC1
110,C1=CN(Cc2ccccc2)CNC1
111,C1=CN(Sc2ccccc2)CC1
112,C1=CN(c2ccccc2)CC1
113,C1=CN(c2ccccc2)CCC1
114,C1=CN(c2ccccc2)CNC1
115,C1=CN2CCC2SC1
116,C1=CN=C(c2ccccc2)NC1
117,C1=CN=CN(c2ccccc2)C1
118,C1=CNC2=C(C1)CCCC2
119,C1=CNCC1
120,C1=CNCCC1
121,C1=CNN(c2ccccc2)C1
122,C1=CNc2ccccc2C1
123,C1=CNc2cc(N3CCNCC3)ccc2C1
124,C1=CNc2ccccc2C1
125,C1=CNc2ccnn2C1
126,C1=CNc2ncccc2C1
127,C1=CNc2ncnn2C1
128,C1=COC(c2ccccc2)=CC1
129,C1=COC(c2ccccc2)CC1
130,C1=COCC1
131,C1=COCCC1
132,C1=COc2ccccc2C1
133,C1=Cc2c(CN1)[nH]cc2
134,C1=Cc2ccccc2NC1
135,C1=Cc2ccccc2OC1
136,C1=Cc2c(cn[nH]2)CN1
137,C1=Cc2ccccc2C1
138,C1=Cc2ccccc2OC1
139,C1=Cc2cccnc2NC1
140,C1=NC(c2ccccc2)CCN1
141,C1=NC(c2ccccc2)c2ccccc2N1
142,C1=NC=C(c2ccccc2)CC1
143,C1=NC=NC1=Cc1c[nH]nc1
144,C1=NCCC(Nc2ccccc2)=C1
145,C1=NCCC(Nc2ccccc2)=N1
146,C1=NCCC(c2ccccc2)=N1
147,C1=NCCCN1c1ccccc1
148,C1=NCCN1C1CCCO1
149,C1=NCCN1Cc1ccccc1
150,C1=NCCN1c1ccccc1
151,C1=NCCNc2ccccc12
152,C1=NCNC(c2ccccc2)=C1
153,C1=NN(c2ccccc2)CC1
154,C1=NNCN1c1ccccc1
155,C1=NNCc2ccccc12
156,C1=NSCCN1
157,C1=NSc2ccccc2N1
158,C1=Nc2c(CN1)[nH]cn2
159,C1=Nc2c(CN1)[nH]nc2
160,C1=Nc2c(CN1)scc2
161,C1=Nc2c(cc[nH]2)CN1
162,C1=Nc2ccccc2C1
163,C1=Nc2ccccc2CC1
164,C1=Nc2ccccc2CN1
165,C1=Nc2ccccc2CN1c1ccccc1
166,C1=Nc2ccccc2NC1
167,C1=Nc2cncnc2NC1
168,C1=c2ccccc2=NCC1
169,C1CC(CN2CCNCC2)CCN1
170,C1CC(N2CCNC2)CCN1
171,C1CC(N2CCNCC2)CCN1
172,C1CC1
173,C1CC2(CCN1)CCNC2
174,C1CC2(CCN1)CCOC2
175,C1CC2(CCN1)CNCN2
176,C1CC2=C(CN1)NCC2
177,C1CC2CCC1C2
178,C1CC2CCN(CC3CC3)C(C1)C2
179,C1CC2CCNC(C1)C2
180,C1CC2CNCC2C1
181,C1CC2CNCCN2C1
182,C1CC2COC(C1)OO2
183,C1CC2COCCC2N1
184,C1CCC(N2CCNCC2)CC1
185,C1CCC(OC2CCCCO2)CC1
186,C1CCC1
187,C1CCC2(C1)CCNCC2
188,C1CCC2(CC1)CCCN2
189,C1CCC2(CC1)CO2
190,C1CCC2(CCNCC2)NC1
191,C1CCC2(CCNCC2)OC1
192,C1CCC23COC(CCC2C1)OO3
193,C1CCC2=C(C1)CCN2
194,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21
195,C1CCC2C(C1)CCC1C3CCCC3CCC21
196,C1CCC2C(C1)CCC1C3CCCCC3CCC21
197,C1CCC2C(C1)CCC1CCCC12
198,C1CCC2C(C1)CCC1CCCCC12
199,C1CCC2CC2C1
200,C1CCC2CCCC2C1
201,C1CCC2CCCCC2C1
202,C1CCC2COCC2C1
203,C1CCC2COCCC2C1
204,C1CCC2NCCCC2C1
205,C1CCCC1
206,C1CCCCC1
207,C1CCN(C2CCNCC2)C1
208,C1CCN(C2CCNCC2)CC1
209,C1CCNC1
210,C1CCNCC1
211,C1CCOC1
212,C1CCOCC1
213,C1CCSC1
214,C1CNC1
215,C1CNCN1
216,C1CNCNC1
217,C1CNSC1
218,C1COCO1
219,C1CSCN1
220,C1NCC2CC12
221,C1NCC2CNCC12
222,C=C
223,C=C(C#N)C(=O)NC
224,C=C(C#N)C(N)=O
225,C=C(C#N)C=O
226,C=C(C#N)CN
227,C=C(C#N)CNC
228,C=C(C)C
229,C=C(C)C#N
230,C=C(C)C(=O)NC
231,C=C(C)C(=O)O
232,C=C(C)C(=O)OC
233,C=C(C)C(=O)OCC
234,C=C(C)C(C)=O
235,C=C(C)C(N)=O
236,C=C(C)C1CCC2(C)CCC3(C)C4CCCCC4CCC3C12
237,C=C(C)C1CCC2(C)CCC3(C)CCCCC3C12
238,C=C(C)C1CCC2(C)CCC3C(CCC4CCCCC43C)C12
239,C=C(C)C1CCC2(C)CCC3C4CCC5C(C)CCCC5C4CCC3C12
240,C=C(C)C1CCC2(C)CCC3C4CCC5C(CCCC5(C)C)C4CCC3C12
241,C=C(C)C1CCC2(C)CCC3C4CCC5CCCCC5C4CCC3C12
242,C=C(C)C1CCC2(C)CCC3C4CCCCC4CCC3C12
243,C=C(C)C1CCC2(C)CCC3CCCCC3C12
244,C=C(C)C1CCC2(C)CCCCC12
245,C=C(C)C1CCC2CCC3(C)C4CCC5C(C)CCCC5C4CCC3C21
246,C=C(C)C1CCC2CCC3(C)C4CCC5C(CCCC5(C)C)C4CCC3C21
247,C=C(C)C1CCC2CCC3(C)C4CCC5CCCCC5C4CCC3C21
248,C=C(C)C1CCC2CCC3(C)C4CCCCC4CCC3C21
249,C=C(C)C1CCC2CCC3(C)CCCCC3C21
250,C=C(C)C1CCC2CCC3C(CCC4CCCCC43C)C21
251,C=C(C)C1CCC2CCC3C4CCC5C(C)CCCC5C4CCC3C21
252,C=C(C)C1CCC2CCC3C4CCC5C(CCCC5(C)C)C4CCC3C21
253,C=C(C)C1CCC2CCC3C4CCC5CCCCC5C4CCC3C21
254,C=C(C)C1CCC2CCC3C4CCCCC4CCC3C21
255,C=C(C)C1CCC2CCC3CCCCC3C21
256,C=C(C)C1CCC2CCCCC21
257,C=C(C)C1CCCC1
258,C=C(C)C=CC
259,C=C(C)C=O
260,C=C(C)CC
261,C=C(C)CCC
262,C=C(C)CCC=C(C)C
263,C=C(C)CCC=C(C)CC
264,C=C(C)CCC=C(C)CCC
265,C=C(C)CCC=CC
266,C=C(C)CCC=CCC
267,C=C(C)CCC=CCCC
268,C=C(C)CN
269,C=C(C)CNC
270,C=C(C)CO
271,C=C(C)COC
272,C=C(C)COCC
273,C=C(C)Cc1ccccc1
274,C=C(C)N
275,C=C(C)NC
276,C=C(C)NC(=O)c1ccccc1
277,C=C(C)NC(C)=O
278,C=C(C)NC=O
279,C=C(C)NCC
280,C=C(C)NCc1ccccc1
281,C=C(C)O
282,C=C(C)c1ccc(O)cc1
283,C=C(C)c1ccc(OC)cc1
284,C=C(C)c1cccc(C)c1
285,C=C(C)c1ccccc1
286,C=C(C=O)NC
287,C=C(C=O)NC(=O)c1ccccc1
288,C=C(C=O)NC(C)=O
289,C=C(C=O)NC=O
290,C=C(C=O)NCC
291,C=C(C=O)NCc1ccccc1
292,C=C(C=O)c1ccccc1
293,C=C(CN)NC
294,C=C(CN)NC(=O)c1ccccc1
295,C=C(CN)NC(C)=O
296,C=C(CN)NC=O
297,C=C(CN)NCC
298,C=C(CN)NCc1ccccc1
299,C=C(N)C(N)=O
300,C=C(N)C=O
301,C=C(N)CN
302,C=C(NC(=O)c1ccccc1)C(N)=O
303,C=C(NC(C)=O)C(N)=O
304,C=C(NC)C(N)=O
305,C=C(NC=O)C(N)=O
306,C=C(NCC)C(N)=O
307,C=C(NCc1ccccc1)C(N)=O
308,C=C(O)O
309,C=C(O)OC
310,C=C(O)OCC
311,C=C(c1ccccc1)c1ccccc1
312,C=C1C(=O)NC(=O)N(C)C1=O
313,C=C1C(=O)NC(=O)NC1=O
314,C=C1C(=O)NCN(C)C1=O
315,C=C1C(=O)NCNC1=O
316,C=C1C(=O)Nc2ccccc12
317,C=C1C(C)=NC=CC1C
318,C=C1C=NC(C)=C(C)C1
319,C=C1C=NC(C)=CC1
320,C=C1C=NC(C)=CC1C
321,C=C1C=NC(O)=N1
322,C=C1C=NC=C(C)C1
323,C=C1C=NC=C(C)C1C
324,C=C1C=NC=CC1
325,C=C1C=NC=CC1C
326,C=C1C=NC=N1
327,C=C1CC(C)=CN=C1C
328,C=C1CC=C(C)N=C1C
329,C=C1CC=CN=C1C
330,C=C1CCC2CCCCC2C1
331,C=C1CCCC1
332,C=C1CCCCC1
333,C=C1CCCCC1=O
334,C=C1CCCCC1C
335,C=C1CCCCC1O
336,C=C1CCCN1C
337,C=C1CCCO1
338,C=C1CCN(C)C1=O
339,C=C1CCN(C)CC1
340,C=C1CCNC1
341,C=C1CCNC1=O
342,C=C1CCNCC1
343,C=C1CN(C)C(=O)NC1=O
344,C=C1CN(C)C(=S)S1
345,C=C1CN(C)CNC1=O
346,C=C1CN(C)CS1
347,C=C1CN(CC)C(=O)S1
348,C=C1CN(CC)C(=S)S1
349,C=C1CN(CC)CS1
350,C=C1CNC(=N)S1
351,C=C1CNC(=NC)S1
352,C=C1CNC(=O)N(C)C1
353,C=C1CNC(=O)N(C)C1=O
354,C=C1CNC(=O)N1
355,C=C1CNC(=O)NC1
356,C=C1CNC(=O)NC1=O
357,C=C1CNC(=O)S1
358,C=C1CNC(=S)S1
359,C=C1CNCCC1=O
360,C=C1CNCN(C)C1
361,C=C1CNCN(C)C1=O
362,C=C1CNCN1
363,C=C1CNCNC1
364,C=C1CNCNC1=O
365,C=C1CNCS1
366,C=C1CNc2ccccc12
367,C=C1N=C(O)N=C1O
368,C=C1N=CN=C1O
369,C=C1NCNC1=O
370,C=C1OCCC1=O
371,C=C1SC(=N)NC1=O
372,C=C1SC(=NC)NC1=O
373,C=C1SC(=O)N(C)C1=O
374,C=C1SC(=O)N(CC)C1=O
375,C=C1SC(=O)NC1=O
376,C=C1SC(=S)N(C)C1=O
377,C=C1SC(=S)N(CC)C1=O
378,C=C1SC(=S)NC1=O
379,C=C1SCN(C)C1=O
380,C=C1SCN(CC)C1=O
381,C=C1SCNC1=O
382,C=CC
383,C=CC#N
384,C=CC(=C)C
385,C=CC(=O)CC
386,C=CC(=O)N(C)C
387,C=CC(=O)NC
388,C=CC(=O)NC(C)C
389,C=CC(=O)NCC
390,C=CC(=O)NCCC
391,C=CC(=O)NO
392,C=CC(=O)Nc1cccc(C)c1
393,C=CC(=O)Nc1ccccc1
394,C=CC(=O)O
395,C=CC(=O)OC
396,C=CC(=O)OCC
397,C=CC(=O)OCC(N)=O
398,C=CC(=O)OCC=O
399,C=CC(=O)OCCN
400,C=CC(=O)c1ccc(O)cc1O
401,C=CC(=O)c1ccc(OC)cc1O
402,C=CC(=O)c1c(O)cccc1O
403,C=CC(=O)c1c(O)cccc1OC
404,C=CC(=O)c1cccc(C)c1
405,C=CC(=O)c1ccc(O)cc1
406,C=CC(=O)c1ccc(O)cc1O
407,C=CC(=O)c1ccc(O)cc1OC
408,C=CC(=O)c1ccc(OC)cc1
409,C=CC(=O)c1ccc(OC)cc1O
410,C=CC(=O)c1ccc(OC)cc1OC
411,C=CC(=O)c1cccc(N)c1
