,smiles
0,CC
1,C=O
2,CN
3,CF
4,C1=CC=CC=C1
5,C1=COCC1
6,C
7,C1CCCCC1
8,C1=CC=NC=C1
9,C1=NN=C[NH]1
10,C#N
11,CO
12,C1CCNC1
13,C1CCNCC1
14,C1=C[NH]C=N1
15,C1CCCNCC1
16,CS
17,CCl
18,C[O-]
19,C1=CN=CCC1
20,C[NH3+]
21,CBr
22,C1=CSC=C1
23,[NH4+]
24,C=N
25,NO
26,N
27,C1=N[NH]C=N1
28,C1=CCNC=C1
29,C1=NCCN1
30,C1=C[NH]C=C1
31,C1=CNC=CC1
32,C1=CCCCC1
33,C1=NCCCN1
34,C1CCCC1
35,C1=C[NH]N=C1
36,C1CNCN1
37,C1=CN=CN=C1
38,C1CCOC1
39,C1CNCNC1
40,C=S
41,C1COCCN1
42,C1=CNNC1
43,C1=CN=CNC1
44,C1=CSC=N1
45,C1=CCNCC1
46,NS
47,O=S
48,S
49,C1CNCCN1
50,C1CC1
51,C1=CNCC1
52,C=C
53,C1=CN=NC1
54,C1=CCNN=C1
55,C1=CC=NN=C1
56,C1=CCCC=C1
57,C1CCC1
58,[NH2+]=O
59,[NH3+][O-]
60,C1=NN=CS1
61,C1=CON=C1
62,C1=CC=[NH+]C=C1
63,C1=NOC=N1
64,C1CCSC1
65,C1=NN=CO1
66,C1=CN=NC=C1
67,C1=COC=C1
68,C1CNOC1
69,C1CC[NH2+]C1
70,C1=CCOCC1
71,C1=NNCN1
72,C1CC[NH2+]CC1
73,C1CCOCC1
74,C1CNCCNC1
75,C1C[NH2+]CCN1
76,C1=NCCO1
77,C1=NCCS1
78,C1=CNN=CC1
79,C1CCSCC1
80,C1=CNCC=N1
81,NN
82,C1=CN=CC=N1
83,C1=CCCN=C1
84,C1CO1
85,C1=COCCC1
86,C1=NC=NCC1
87,C1=NC=NC1
88,C1=NC=NN=C1
89,C1=CNCCC1
90,C1CSCN1
91,C1NN=NN1
92,C1CSCCN1
93,C#C
94,C1COCCO1
95,C1=[NH+]CCC1
96,C1=NCCN=C1
97,C1COC1
98,C1=NCNCC1
99,C1=CSCC1
100,C1CNSC1
101,C1=COCNC1
102,C1=NNCC1
103,C1=CCCC1
104,C1CCC[NH2+]CC1
105,C1=CNCN=C1
106,C1=NN=N[NH]1
107,C1COCC[NH2+]1
108,C1CCCNCCC1
109,C1=CNCNC1
110,C1COCO1
111,C1=NNCCN1
112,C1=NON=C1
113,C1CCCCCC1
114,C1C[NH2+]C[NH2+]1
115,C1=C[NH]N=N1
116,C1=CN=CC1
117,C1=NSC=N1
118,C1=COC=N1
119,C1=N[NH]N=C1
120,C1=CSCN1
121,C1=C[NH+]=C[NH]1
122,C1=CCN=C1
123,C[NH-]
124,C1=NNCS1
125,C=[NH2+]
126,C1=CSN=N1
127,C1=CC2CCC1C2
128,C1CC2CNC(C1)C2
129,C1=C[NH+]=CNC1
130,C1=[NH+]CCN1
131,C1COCCOC1
132,C1=C[NH+]=CN=C1
133,C1=CCNC1
134,C1=CC[NH+]=C1
135,C1=COCCO1
136,C1=NCSC1
137,C1=[NH+]CCS1
138,C1=NNCNC1
139,[NH-]S
140,C1CNNC1
141,C1=CCC=CC1
142,C1=CNC[NH2+]C1
143,C1=CSNCN1
144,C1CNN=N1
145,C1=NCCNC1
146,C[S-]
147,C1=N[NH]N=N1
148,C1C2CC3CC1CC(C2)C3
149,C1=NN=CNC1
150,OS
151,C1=NC=NC=N1
152,C1=NSN=C1
153,C1=COC=CC1
154,C1=CCOC=C1
155,C1=NN=CCC1
156,C1C[NH2+]C1
157,C1CC2CCC1C2
158,C1CNCCOC1
159,C1COCN1
160,C1=CNCN1
161,C1=NN=CC1
162,C1=NNCO1
163,N[NH3+]
164,CI
165,C1CNCCSC1
166,C1=COCO1
167,C1=CC2CC(C1)C2
168,C1CSCSC1
169,C1=CNNCC1
170,C1=COCCCO1
171,C1=CC2CCC1O2
172,C1CNC1
173,C1CCCOCC1
174,C1=NN=N[N-]1
175,C1CC2CCC1O2
176,C1=NCNN1
177,C1=CC[NH2+]CC1
178,C1=CNCSC1
179,C1=NSCCN1
180,C1CSCC[NH2+]1
181,C1=NCCC=[NH+]1
182,C1=CCSC1
183,C1=N[N-]C=N1
184,C1=CN=C[NH+]=C1
185,C1=CCOC1
186,C1CSN1
187,C1=CCSCC1
188,C1=CNCN=N1
189,C1CNCC[NH2+]C1
190,C1C[NH2+]CC[NH2+]1
191,C1NCNCN1
192,C1=NNCCC1
193,C1C[NH2+]CCOC1
194,C1CCCSCC1
195,C1=CSN=C1
196,C1=COCOC1
197,N=P
198,NP
199,CP
200,P
201,C1=CCCOC=C1
202,C1=NOCC1
203,C1COCOC1
204,C1=NC[NH2+]CC1
205,C1CC2C[NH2+]CC1C2
206,C1CSCCS1
207,C1CCSNC1
208,C1CCCCCCC1
209,C1=NCNC1
210,OO
211,C1=CSCCC1
212,C1CSCCO1
213,C1=COCCOC1
214,C1=COCCNC1
215,C1CNCSC1
216,C1CC2CCC(C1)[NH2+]2
217,C1NCSCN1
218,C1CNC[NH2+]C1
219,C1=CCC[NH+]=C1
220,C1=CN=[NH+]C1
221,C1CCNCSCC1
222,C1CC2CC1CN2
223,C1=C[NH+]=CCN1
224,C1=CC2CCC1CC2
225,C1=C[NH][NH+]=C1
226,C1=CNCCCN1
227,C1=CCCCCC1
228,C1CNCOC1
229,C1=CNCCNC1
230,C1=NSCC1
231,C1OC2CC3CC1C2C3
232,C1=CSN=CN1
233,C1=CCCOCC1
234,C1=CSNCC1
235,C1=NCC[N-]1
236,C1=[NH+]CNN1
237,C1CN1
238,C1=CNCCN1
239,C1N=NCS1
240,C=[OH+]
241,C1=CCC1
242,C1=CSNC1
243,C1C[NH2+]COC1
244,C1NCC2CNCC1C2
245,C1CNCN=N1
246,C1C[NH+]2CCN1CC2
247,C1CSCNN1
248,C1=[NH+]C[NH+]=C1
249,C1COC[NH2+]1
250,C1=CNC=NC1
251,C1=NCCCC1
252,C1CNSNC1
253,C1C[NH2+]CN1
254,C1=COCCN1
255,C1CSNCN1
256,C1=COC=CN1
257,C1=[NH+]CC[NH+]=C1
258,N=N
259,C1CCNCNCC1
260,C1=CNCC[NH2+]C1
261,C1=CCCCCCC1
262,C1CSC[NH2+]1
263,C1CC2CNCC1CN2
264,C1=CN=NC=N1
265,[N-]=[NH2+]
266,N=[NH2+]
267,C1=NC=NCN1
268,O=P
269,C1CN=NNC1
270,C1=CCNCCC1
271,C1CC2CCCC(C1)N2
272,C1CC2CCC(CN1)[NH2+]2
273,C1=NCOC1
274,C1CC2C[NH2+]CC1CN2
275,C1=C[NH2+]C=CC1
276,C1CC2CNCC1N2
277,C1=C[NH+]=CC=[NH+]1
278,C1=CON=[NH+]1
279,C1CCC[NH2+]CCC1
280,C1CSSC1
281,C1=[NH+]CON1
282,C1CCNCNC1
283,C1=[NH+]CSC1
