,0
0,Brc1ccccc1
1,C#CC
2,C1=C2CCCCC2CCC1
3,C1=CCC2CCCCC2C1
4,C1=CCCCC1
5,C1=CCc2ccccc2C1
6,C1=CNc2ccccc2C1
7,C1=Cc2ccccc2OC1
8,C1=Nc2ccccc2CN1
9,C1CCC2CCCC2C1
10,C1CCC2CCCCC2C1
11,C1CCCCC1
12,C1CCNC1
13,C1CCNCC1
14,C=C
15,C=C(C)C
16,C=CC
17,C=CC(=O)NC
18,C=CC(C)=O
19,C=CC(N)=O
20,C=CC=O
21,C=CCC
22,C=CCCC
23,C=CCN
24,C=CCNC
25,C=CCO
26,C=Cc1cccc(O)c1O
27,C=Cc1cccc(OC)c1O
28,C=Cc1ccccc1O
29,C=Cc1cccc(O)c1OC
30,C=Cc1ccccc1OC
31,C=Cc1cccc(O)c1
32,C=Cc1cccc(OC)c1
33,C=Cc1ccc(C)cc1
34,C=Cc1ccccc1
35,C=N
36,C=NC
37,C=NCC
38,C=NN
39,C=NNC
40,C=NNC(C)=O
41,C=NNC=O
42,C=NNCC
43,C=NO
44,C=Nc1ccccc1
45,C=O
46,C=S
47,CC
48,CC#CC
49,CC#N
50,CC(=N)N
51,CC(=N)O
52,CC(=O)N(C)C
53,CC(=O)N(C)c1ccccc1
54,CC(=O)N1CCC(C)C1
55,CC(=O)N1CCC(C)CC1
56,CC(=O)N1CCCC1
57,CC(=O)N1CCCCC1
58,CC(=O)N1CCN(C)CC1
59,CC(=O)N1CCNCC1
60,CC(=O)NC(C)C
61,CC(=O)NC(C)C(=O)NC(C)C
62,CC(=O)NC(C)C(=O)NC(C)C=O
63,CC(=O)NC(C)C(=O)NCC=O
64,CC(=O)NC(C)C(=O)O
65,CC(=O)NC(C)C(N)=O
66,CC(=O)NC(C)C=O
67,CC(=O)NC(C)CN
68,CC(=O)NC(C)CNC(C)C
69,CC(=O)NC(C)CNC(C)C=O
70,CC(=O)NC(C)CNCC=O
71,CC(=O)NC(C)CO
72,CC(=O)NC(C)Cc1ccccc1
73,CC(=O)NC(C)c1ccccc1
74,CC(=O)NC(C=O)Cc1ccccc1
75,CC(=O)NCC(=O)NC(C)C
76,CC(=O)NCC(=O)NC(C)C=O
77,CC(=O)NCC(=O)NCC=O
78,CC(=O)NCC(=O)O
79,CC(=O)NCC(N)=O
