,0
0,Brc1ccccc1
1,C#CC
2,C1=Cc2ccccc2OC1
3,C1=Nc2c(ccs2)CN1
4,C1=Nc2ccccc2CN1
5,C1CC1
6,C1CCC1
7,C1CCCC1
8,C1CCCCC1
9,C1CCSC1
10,C=C
11,C=C(C)C
12,C=C(C)C#N
13,C=C(C)C=O
14,C=C1CN(C)C(=O)S1
15,C=C1CN(C)CS1
16,C=C1CNC(=O)S1
17,C=C1CNCS1
18,C=C1SCN(C)C1=O
19,C=C1SCNC1=O
20,C=CC
21,C=CC#N
22,C=CC(=O)NC
23,C=CC(N)=O
24,C=CC=O
25,C=CCN
26,C=CCNC
27,C=Cc1cccc(O)c1
28,C=Cc1cccc(OC)c1
29,C=Cc1ccccc1
30,C=Cc1ccccc1O
31,C=Cc1ccccc1OC
32,C=N
33,C=NC
34,C=NN
35,C=NNC
36,C=NNC(C)=O
37,C=NNC=O
38,C=NNCC
39,C=O
40,C=S
41,CC
42,CC#N
43,CC(=O)N(C)C
44,CC(=O)N(C)C(C)C
45,CC(=O)N(C)Cc1ccccc1
46,CC(=O)N(C)c1ccccc1
47,CC(=O)N1CCC(C(N)=O)CC1
48,CC(=O)N1CCC(CN)CC1
49,CC(=O)N1CCCC(C)C1
50,CC(=O)N1CCCC(C=O)C1
51,CC(=O)N1CCCC1
52,CC(=O)N1CCCC1C
53,CC(=O)N1CCCCC1
54,CC(=O)N1CCN(C)CC1
55,CC(=O)N1CCN(c2ccccc2)CC1
56,CC(=O)N1CCNCC1
57,CC(=O)N1CCOC(C)C1
58,CC(=O)N1CCOCC1
59,CC(=O)N1CCc2ccccc2C1
60,CC(=O)NC(C)(C)C
61,CC(=O)NC(C)C
62,CC(=O)NC(C)C(C)C
63,CC(=O)NC(C)C(N)=O
64,CC(=O)NC(C)C=O
65,CC(=O)NC(C)CN
66,CC(=O)NC(C)c1ccccc1
67,CC(=O)NC1CC1
68,CC(=O)NC1CCC(C)CC1
69,CC(=O)NC1CCCC1
70,CC(=O)NC1CCCCC1
71,CC(=O)NCC(C)C
72,CC(=O)NCC(C)O
73,CC(=O)NCC(N)=O
74,CC(=O)NCC=O
75,CC(=O)NCCN
76,CC(=O)NCCO
77,CC(=O)NCCc1ccccc1
78,CC(=O)NCN
79,CC(=O)NCc1ccc(C)cc1
