smiles,score
CCCCCC(CCCCCCC(=O)NC(C(C)=CO)C1=CC=C(F)C(CN)=C1)OC1=C(O)C(OC)=CC=C1,0.871842597
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(C(N)=CO)=C1)OC1=C(O)C(OC)=CC=C1,0.871506272
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CN=CO)=C1)OC1=C(O)C(OC)=CC=C1,0.870947276
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CC(=N)O)=C1)OC1=C(O)C(OC)=CC=C1,0.870569671
CC=CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CN)=C1)OC1=C(O)C(OC)=CC=C1,0.870378837
CCCCCC(CCCCCN(S)C(=O)NC(CC)C1=CC=C(F)C(CN)=C1)OC1=C(O)C(OC)=CC=C1,0.870310265
C=C(C)C(NC(=O)CCCCCCC(CCCCC)OC1=C(O)C(OC)=CC=C1)C1=CC=C(F)C(CN)=C1,0.870204346
CCC(NC(=O)CCCCCCC(CCCCN(CC)CC)OC1=C(O)C(OC)=CC=C1)C1=CC=C(F)C(CN)=C1,0.870025875
CCCN(CC)CCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CN)=C1)OC1=C(O)C(OC)=CC=C1,0.869441744
CC=CN(O)CC1=CC(C(CC)NC(=O)CCCCCCC(CCCCC)OC2=C(O)C(OC)=CC=C2)=CC=C1F,0.869234146
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CC=N)=C1)OC1=C(O)C(OC)=CC=C1,0.869060302
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(N(N)S)=C1)OC1=C(O)C(OC)=CC=C1,0.86905746
CCCN(C)CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CN)=C1)OC1=C(O)C(OC)=CC=C1,0.868901438
CC=C(C)C(NC(=O)CCCCCCC(CCCCC)OC1=C(O)C(OC)=CC=C1)C1=CC=C(F)C(CN)=C1,0.868870681
CCC1=CN(CCCCC(CCCCCCC(=O)NC(CC)C2=CC=C(F)C(CN)=C2)OC2=C(O)C(OC)=CC=C2)CC1,0.868563962
CCC(NC(=O)CCCCCCC(CCCCN1CC=C(C)CC1)OC1=C(O)C(OC)=CC=C1)C1=CC=C(F)C(CN)=C1,0.868563962
CC=C(N)C1=CC(C(CC)NC(=O)CCCCCCC(CCCCC)OC2=C(O)C(OC)=CC=C2)=CC=C1F,0.868493665
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(COC=N)=C1)OC1=C(O)C(OC)=CC=C1,0.868311373
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CN(C)CO)=C1)OC1=C(O)C(OC)=CC=C1,0.868190365
CCC(NC(=O)CCCCCCC(CCCCCN(C)SC)OC1=C(O)C(OC)=CC=C1)C1=CC=C(F)C(CN)=C1,0.868162478
CCCCCC(CCCCCCC(=O)NC(CC)C1=CC=C(F)C(CN(C)CCO)=C1)OC1=C(O)C(OC)=CC=C1,0.868143937
CCC(NC(=O)CCCCCCC(CCCCC=CO)OC1=C(O)C(OC)=CC=C1)C1=CC=C(F)C(CN)=C1,0.868097292
